time,open,high,low,close,volume
2024-12-12 18:37:00+09:00,2.4316,2.4320,2.4279,2.4302,1240987.7
2024-12-12 18:38:00+09:00,2.4301,2.4301,2.4260,2.4264,1053495.7
2024-12-12 18:39:00+09:00,2.4264,2.4284,2.4252,2.4268,834664.0
2024-12-12 18:40:00+09:00,2.4268,2.4287,2.4258,2.4269,1074208.9
2024-12-12 18:41:00+09:00,2.4269,2.4270,2.4183,2.4196,4821886.5
2024-12-12 18:42:00+09:00,2.4197,2.4204,2.4174,2.4196,1323118.9
2024-12-12 18:43:00+09:00,2.4196,2.4213,2.4172,2.4198,1301920.4
2024-12-12 18:44:00+09:00,2.4199,2.4229,2.4199,2.4221,543229.3
2024-12-12 18:45:00+09:00,2.4222,2.4234,2.4208,2.4228,701881.7
2024-12-12 18:46:00+09:00,2.4228,2.4256,2.4226,2.4251,946717.6
2024-12-12 18:47:00+09:00,2.4250,2.4271,2.4242,2.4253,619762.3
2024-12-12 18:48:00+09:00,2.4253,2.4255,2.4196,2.4203,896785.5
2024-12-12 18:49:00+09:00,2.4203,2.4250,2.4200,2.4248,648000.9
2024-12-12 18:50:00+09:00,2.4248,2.4275,2.4241,2.4269,478334.5
2024-12-12 18:51:00+09:00,2.4268,2.4284,2.4255,2.4269,543605.4
2024-12-12 18:52:00+09:00,2.4269,2.4286,2.4262,2.4271,489854.7
2024-12-12 18:53:00+09:00,2.4271,2.4290,2.4265,2.4274,658820.8
2024-12-12 18:54:00+09:00,2.4275,2.4300,2.4262,2.4299,1210234.0
2024-12-12 18:55:00+09:00,2.4299,2.4307,2.4278,2.4304,1024005.1
2024-12-12 18:56:00+09:00,2.4304,2.4317,2.4286,2.4286,472958.6
2024-12-12 18:57:00+09:00,2.4285,2.4296,2.4280,2.4280,341012.0
2024-12-12 18:58:00+09:00,2.4281,2.4281,2.4228,2.4228,697611.2
2024-12-12 18:59:00+09:00,2.4228,2.4228,2.4171,2.4187,1650083.4
2024-12-12 19:00:00+09:00,2.4188,2.4191,2.4121,2.4130,2815772.8
2024-12-12 19:01:00+09:00,2.4129,2.4136,2.4011,2.4044,4961748.5
2024-12-12 19:02:00+09:00,2.4045,2.4092,2.4044,2.4065,1992045.6
2024-12-12 19:03:00+09:00,2.4066,2.4073,2.4023,2.4036,1489935.0
2024-12-12 19:04:00+09:00,2.4037,2.4065,2.4016,2.4041,1242390.8
2024-12-12 19:05:00+09:00,2.4041,2.4041,2.3961,2.3979,3722688.3
2024-12-12 19:06:00+09:00,2.3980,2.4000,2.3935,2.3966,2388435.5
2024-12-12 19:07:00+09:00,2.3966,2.3994,2.3932,2.3940,2033591.4
2024-12-12 19:08:00+09:00,2.3940,2.3974,2.3912,2.3949,1358525.9
2024-12-12 19:09:00+09:00,2.3949,2.3970,2.3906,2.3920,1497369.7
2024-12-12 19:10:00+09:00,2.3920,2.4019,2.3916,2.4002,2425304.4
2024-12-12 19:11:00+09:00,2.4003,2.4050,2.3980,2.3985,1790510.5
2024-12-12 19:12:00+09:00,2.3985,2.3991,2.3928,2.3954,1762956.1
2024-12-12 19:13:00+09:00,2.3954,2.4004,2.3949,2.3997,878779.4
2024-12-12 19:14:00+09:00,2.3997,2.3997,2.3962,2.3977,704769.8
2024-12-12 19:15:00+09:00,2.3977,2.3992,2.3905,2.3924,2109386.3
2024-12-12 19:16:00+09:00,2.3923,2.3931,2.3894,2.3912,1693162.5
2024-12-12 19:17:00+09:00,2.3911,2.3980,2.3908,2.3970,1401352.4
2024-12-12 19:18:00+09:00,2.3971,2.4020,2.3958,2.4013,1782370.5
2024-12-12 19:19:00+09:00,2.4014,2.4027,2.3972,2.3974,1436634.2
2024-12-12 19:20:00+09:00,2.3974,2.4023,2.3963,2.4003,920505.6
2024-12-12 19:21:00+09:00,2.4003,2.4027,2.3991,2.4023,785950.1
2024-12-12 19:22:00+09:00,2.4023,2.4051,2.3996,2.4005,1174568.4
2024-12-12 19:23:00+09:00,2.4005,2.4010,2.3982,2.4003,969168.9
2024-12-12 19:24:00+09:00,2.4004,2.4055,2.3992,2.4044,1021514.7
2024-12-12 19:25:00+09:00,2.4045,2.4083,2.4027,2.4072,1379514.7
2024-12-12 19:26:00+09:00,2.4073,2.4118,2.4065,2.4106,1611642.9
2024-12-12 19:27:00+09:00,2.4106,2.4141,2.4077,2.4083,1446924.3
2024-12-12 19:28:00+09:00,2.4083,2.4085,2.4063,2.4064,598222.4
2024-12-12 19:29:00+09:00,2.4064,2.4087,2.4059,2.4087,545755.7
2024-12-12 19:30:00+09:00,2.4088,2.4101,2.4066,2.4067,695537.1
2024-12-12 19:31:00+09:00,2.4066,2.4067,2.4017,2.4052,1246916.5
2024-12-12 19:32:00+09:00,2.4052,2.4077,2.4032,2.4032,616135.3
2024-12-12 19:33:00+09:00,2.4032,2.4114,2.4032,2.4105,736438.0
2024-12-12 19:34:00+09:00,2.4104,2.4104,2.4064,2.4073,494303.4
2024-12-12 19:35:00+09:00,2.4073,2.4074,2.3999,2.4016,1065546.2
2024-12-12 19:36:00+09:00,2.4016,2.4040,2.4005,2.4018,1017901.2
2024-12-12 19:37:00+09:00,2.4018,2.4050,2.4005,2.4012,590475.4
2024-12-12 19:38:00+09:00,2.4013,2.4018,2.4000,2.4010,370502.8
2024-12-12 19:39:00+09:00,2.4010,2.4031,2.4001,2.4005,677819.1
2024-12-12 19:40:00+09:00,2.4004,2.4017,2.3980,2.4008,711700.2
2024-12-12 19:41:00+09:00,2.4008,2.4052,2.4005,2.4032,427203.8
2024-12-12 19:42:00+09:00,2.4033,2.4083,2.4029,2.4071,802192.5
2024-12-12 19:43:00+09:00,2.4071,2.4076,2.4045,2.4045,790455.7
2024-12-12 19:44:00+09:00,2.4045,2.4059,2.4036,2.4056,351823.7
2024-12-12 19:45:00+09:00,2.4056,2.4056,2.4023,2.4049,588025.6
2024-12-12 19:46:00+09:00,2.4049,2.4058,2.4009,2.4049,698403.7
2024-12-12 19:47:00+09:00,2.4049,2.4050,2.4010,2.4015,525497.8
2024-12-12 19:48:00+09:00,2.4016,2.4016,2.3988,2.4008,659896.9
2024-12-12 19:49:00+09:00,2.4009,2.4009,2.3978,2.3984,597098.9
2024-12-12 19:50:00+09:00,2.3985,2.4009,2.3984,2.3995,652092.5
2024-12-12 19:51:00+09:00,2.3996,2.4010,2.3975,2.3989,686024.8
2024-12-12 19:52:00+09:00,2.3989,2.3989,2.3934,2.3946,1637776.5
2024-12-12 19:53:00+09:00,2.3946,2.3947,2.3896,2.3936,1929676.7
2024-12-12 19:54:00+09:00,2.3937,2.3961,2.3919,2.3961,673446.6
2024-12-12 19:55:00+09:00,2.3962,2.3979,2.3944,2.3959,724540.3
2024-12-12 19:56:00+09:00,2.3958,2.3990,2.3942,2.3986,441550.4
2024-12-12 19:57:00+09:00,2.3986,2.4010,2.3983,2.4000,665611.8
2024-12-12 19:58:00+09:00,2.3999,2.4029,2.3994,2.4005,600036.7
2024-12-12 19:59:00+09:00,2.4005,2.4005,2.3972,2.3980,420401.1
2024-12-12 20:00:00+09:00,2.3980,2.4016,2.3955,2.3988,595797.5
2024-12-12 20:01:00+09:00,2.3988,2.3999,2.3961,2.3987,443707.9
2024-12-12 20:02:00+09:00,2.3986,2.4010,2.3970,2.3970,543809.2
2024-12-12 20:03:00+09:00,2.3970,2.3971,2.3911,2.3913,730945.8
2024-12-12 20:04:00+09:00,2.3914,2.3926,2.3822,2.3831,4578111.0
2024-12-12 20:05:00+09:00,2.3831,2.3966,2.3826,2.3959,1798200.6
2024-12-12 20:06:00+09:00,2.3958,2.3996,2.3902,2.3994,1003164.8
2024-12-12 20:07:00+09:00,2.3994,2.4006,2.3963,2.3988,981778.9
2024-12-12 20:08:00+09:00,2.3987,2.4030,2.3982,2.3986,871237.3
2024-12-12 20:09:00+09:00,2.3986,2.3986,2.3937,2.3939,467996.6
2024-12-12 20:10:00+09:00,2.3938,2.3938,2.3861,2.3862,1012670.1
2024-12-12 20:11:00+09:00,2.3861,2.3886,2.3826,2.3840,1729819.3
2024-12-12 20:12:00+09:00,2.3839,2.3859,2.3792,2.3856,2960020.4
2024-12-12 20:13:00+09:00,2.3856,2.3859,2.3798,2.3828,1689488.1
2024-12-12 20:14:00+09:00,2.3829,2.3839,2.3810,2.3812,1161553.8
2024-12-12 20:15:00+09:00,2.3813,2.3870,2.3812,2.3870,1131184.7
